# settings: ObjectDict([('device', 'cpu'), ('num_threads', 4), ('lr', 0.01), ('batch_size', 64), ('n_lstm', 8), ('n_updates', 10000000.0), ('results_dir', 'results'), ('print_stats_at', 100.0), ('plot_at', 1000.0), ('validate_at', 500.0), ('n_samples', 100000.0), ('rnd_seed', 42)])
[train] u: 0000100; loss: 0.1748305; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.41816967 0.68521818 0.33105718 ... 0.46982336 0.515545   0.6782428 ]; bacc: 0.5000; average_auc:0.4582
[train] u: 0001000; loss: 0.0594841; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.42466414 0.66971872 0.3302531  ... 0.45570729 0.51083327 0.67386465]; bacc: 0.5000; average_auc:0.4660
[validation] u: 0001000; loss: 0.0633708; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.92797784 0.9598338  0.78957395 ... 0.47576177 0.47645429 0.26211911]; bacc: 0.5001; validation_auc:0.4600
  New best validation loss: 0.06337080150842667
[train] u: 0001100; loss: 0.0592300; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.43323684 0.67268003 0.33041391 ... 0.44187324 0.51079617 0.67381518]; bacc: 0.5000; average_auc:0.4657
[train] u: 0001200; loss: 0.0590411; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.43193795 0.67119525 0.32388233 ... 0.449384   0.51190918 0.67374097]; bacc: 0.5000; average_auc:0.4679
[train] u: 0001300; loss: 0.0582746; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.42128702 0.67766229 0.33073555 ... 0.45064569 0.51298509 0.67379044]; bacc: 0.5000; average_auc:0.4677
[train] u: 0001400; loss: 0.0574586; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.42232613 0.67927906 0.33344467 ... 0.45137301 0.51224308 0.67366677]; bacc: 0.5000; average_auc:0.4697
[train] u: 0001500; loss: 0.0550612; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.42092828 0.68002145 0.32796457 ... 0.45581119 0.51250278 0.67366677]; bacc: 0.5000; average_auc:0.4706
[validation] u: 0001500; loss: 0.0586325; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.95117729 0.96710526 0.8574645  ... 0.47576177 0.47541551 0.26211911]; bacc: 0.5000; validation_auc:0.4627
  New best validation loss: 0.05863254517316818
[train] u: 0001600; loss: 0.0549126; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.41617804 0.68325497 0.33116851 ... 0.442749   0.51302219 0.67359256]; bacc: 0.5000; average_auc:0.4713
[train] u: 0001700; loss: 0.0566548; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.40786511 0.68577085 0.32985725 ... 0.45337687 0.51283668 0.67361729]; bacc: 0.5001; average_auc:0.4722
[train] u: 0001800; loss: 0.0543327; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.39678122 0.68780005 0.33312304 ... 0.39827817 0.4547006  0.67351835]; bacc: 0.5000; average_auc:0.4736
[train] u: 0001900; loss: 0.0542033; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.38370568 0.6908521  0.33102006 ... 0.45673148 0.51409809 0.67344415]; bacc: 0.5001; average_auc:0.4753
[train] u: 0002000; loss: 0.0534412; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.37150845 0.68375815 0.33118088 ... 0.41138489 0.5149143  0.67344415]; bacc: 0.5000; average_auc:0.4748
[validation] u: 0002000; loss: 0.0565414; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.73891967 0.97056787 0.77658469 ... 0.67416898 0.47472299 0.26177285]; bacc: 0.5000; validation_auc:0.4684
  New best validation loss: 0.05654138699173927
[train] u: 0002100; loss: 0.0526640; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.32523071 0.68485523 0.33105718 ... 0.4489387  0.51420939 0.67339468]; bacc: 0.5001; average_auc:0.4765
[train] u: 0002200; loss: 0.0541873; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.34659442 0.6918502  0.33229422 ... 0.46434615 0.5149885  0.67339468]; bacc: 0.5000; average_auc:0.4761
[train] u: 0002300; loss: 0.0531582; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.38087286 0.67877588 0.33526312 ... 0.46094701 0.5146917  0.67339468]; bacc: 0.5000; average_auc:0.4770
[train] u: 0002400; loss: 0.0520685; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.38423761 0.68276829 0.33106955 ... 0.45616743 0.51428359 0.67336994]; bacc: 0.5001; average_auc:0.4790
[train] u: 0002500; loss: 0.0534005; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.35872981 0.68397261 0.33109429 ... 0.45944783 0.5144691  0.67319679]; bacc: 0.5000; average_auc:0.4789
[validation] u: 0002500; loss: 0.0562681; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.92970914 0.97056787 0.84083824 ... 0.47957064 0.47853186 0.26142659]; bacc: 0.5000; validation_auc:0.4751
  New best validation loss: 0.05626814812421799
[train] u: 0002600; loss: 0.0529474; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.35134466 0.68257032 0.33400134 ... 0.45584088 0.5144691  0.67332047]; bacc: 0.5000; average_auc:0.4781
[train] u: 0002700; loss: 0.0527994; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.38281501 0.62807061 0.33108192 ... 0.45535105 0.5147659  0.67324626]; bacc: 0.5000; average_auc:0.4787
[train] u: 0002800; loss: 0.0526112; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.38339642 0.63904974 0.33108192 ... 0.45888378 0.5149143  0.67292471]; bacc: 0.5000; average_auc:0.4772
[train] u: 0002900; loss: 0.0537669; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.37542987 0.64975666 0.33110666 ... 0.4607392  0.5146546  0.6728505 ]; bacc: 0.5001; average_auc:0.4796
[train] u: 0003000; loss: 0.0528251; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.380143   0.67507218 0.33105718 ... 0.45483153 0.5150256  0.67312259]; bacc: 0.5001; average_auc:0.4801
[validation] u: 0003000; loss: 0.0549194; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.81475069 0.97056787 0.86595081 ... 0.55955679 0.47576177 0.26177285]; bacc: 0.5001; validation_auc:0.4756
  New best validation loss: 0.05491940304636955
[train] u: 0003100; loss: 0.0536486; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.35093644 0.67579807 0.33105718 ... 0.45610806 0.5148772  0.67243   ]; bacc: 0.5001; average_auc:0.4814
[train] u: 0003200; loss: 0.0516005; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.37194141 0.6749237  0.33116851 ... 0.43872644 0.5146175  0.67257841]; bacc: 0.5000; average_auc:0.4807
[train] u: 0003300; loss: 0.0519816; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.38340879 0.67276252 0.3313417  ... 0.46151106 0.5149514  0.67282576]; bacc: 0.5001; average_auc:0.4825
[train] u: 0003400; loss: 0.0511289; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.37502165 0.6731997  0.33140355 ... 0.46370788 0.5150627  0.67292471]; bacc: 0.5000; average_auc:0.4803
[train] u: 0003500; loss: 0.0518842; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.37655558 0.65252    0.33325911 ... 0.42553065 0.48345329 0.67304838]; bacc: 0.5001; average_auc:0.4812
[validation] u: 0003500; loss: 0.0541052; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.46191136 0.97056787 0.87980603 ... 0.79293629 0.67278393 0.26108033]; bacc: 0.5001; validation_auc:0.4763
  New best validation loss: 0.05410518869757652
[train] u: 0003600; loss: 0.0530363; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.36678295 0.67790151 0.33406319 ... 0.46725545 0.515174   0.67233106]; bacc: 0.5001; average_auc:0.4820
[train] u: 0003700; loss: 0.0529403; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.37804003 0.66518189 0.33752691 ... 0.46401959 0.5150627  0.67275156]; bacc: 0.5000; average_auc:0.4794
[train] u: 0003800; loss: 0.0514654; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.3633316  0.67848717 0.33142829 ... 0.46379694 0.5152111  0.67297418]; bacc: 0.5001; average_auc:0.4778
[train] u: 0003900; loss: 0.0512748; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.3567258  0.64315763 0.33586927 ... 0.4594033  0.5149514  0.67304838]; bacc: 0.5001; average_auc:0.4790
[train] u: 0004000; loss: 0.0507397; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.34917984 0.68011218 0.33145303 ... 0.46128841 0.515174   0.67223212]; bacc: 0.5001; average_auc:0.4804
[validation] u: 0004000; loss: 0.0530543; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.35457064 0.97056787 0.87391756 ... 0.52216066 0.48614958 0.26108033]; bacc: 0.5000; validation_auc:0.4763
  New best validation loss: 0.05305426940321922
[train] u: 0004100; loss: 0.0520486; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.35150548 0.6786769  0.33857839 ... 0.45144723 0.5151369  0.67057485]; bacc: 0.5000; average_auc:0.4782
[train] u: 0004200; loss: 0.0536553; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.36343056 0.67760455 0.3509117  ... 0.46830934 0.515174   0.67069853]; bacc: 0.5001; average_auc:0.4794
[train] u: 0004300; loss: 0.0514813; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.35204978 0.67966675 0.33145303 ... 0.46228292 0.5152111  0.67111903]; bacc: 0.5001; average_auc:0.4799
[train] u: 0004400; loss: 0.0520599; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.38219649 0.67803349 0.333222   ... 0.47055069 0.5152111  0.67149006]; bacc: 0.5001; average_auc:0.4804
[train] u: 0004500; loss: 0.0513631; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.38734259 0.67955951 0.33569608 ... 0.46151106 0.5152111  0.67077273]; bacc: 0.5001; average_auc:0.4798
[validation] u: 0004500; loss: 0.0531767; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.63573407 0.97091413 0.8855213  ... 0.55436288 0.48234072 0.26108033]; bacc: 0.5000; validation_auc:0.4779
[train] u: 0004600; loss: 0.0507504; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.35908855 0.68327147 0.34049581 ... 0.44528722 0.5152111  0.66948649]; bacc: 0.5000; average_auc:0.4794
[train] u: 0004700; loss: 0.0508455; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.38462109 0.67816547 0.33193548 ... 0.46192667 0.5152111  0.67012961]; bacc: 0.5001; average_auc:0.4801
[train] u: 0004800; loss: 0.0526960; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.36609021 0.67957601 0.33466934 ... 0.46056108 0.5151369  0.66951123]; bacc: 0.5000; average_auc:0.4787
[train] u: 0004900; loss: 0.0529745; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.39335461 0.67982348 0.36083278 ... 0.47166395 0.5152853  0.67134164]; bacc: 0.5001; average_auc:0.4796
[train] u: 0005000; loss: 0.0508106; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.43148024 0.6735874  0.33418689 ... 0.47163426 0.5152482  0.66834867]; bacc: 0.5000; average_auc:0.4784
[validation] u: 0005000; loss: 0.0524518; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.27700831 0.97056787 0.57620367 ... 0.47610803 0.47680055 0.26108033]; bacc: 0.5000; validation_auc:0.4759
  New best validation loss: 0.05245175585150719
[train] u: 0005100; loss: 0.0505112; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.38501695 0.68094119 0.3333457  ... 0.46154075 0.5152111  0.67017908]; bacc: 0.5001; average_auc:0.4782
[train] u: 0005200; loss: 0.0504873; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.38778792 0.66319393 0.33856602 ... 0.46390085 0.5150627  0.67196003]; bacc: 0.5001; average_auc:0.4794
[train] u: 0005300; loss: 0.0523520; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.3745392  0.66429927 0.43780153 ... 0.46348523 0.5151369  0.66993173]; bacc: 0.5001; average_auc:0.4781
[train] u: 0005400; loss: 0.0512180; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.40195205 0.68107729 0.38147901 ... 0.45532136 0.5150627  0.66884338]; bacc: 0.5000; average_auc:0.4788
[train] u: 0005500; loss: 0.0587987; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.37284445 0.68380764 0.33127984 ... 0.4327297  0.5153224  0.67386465]; bacc: 0.5000; average_auc:0.4778
[validation] u: 0005500; loss: 0.0603358; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.56959834 0.97056787 0.77727745 ... 0.87915512 0.48199446 0.26211911]; bacc: 0.5001; validation_auc:0.4723
[train] u: 0005600; loss: 0.0506230; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.38895074 0.67823146 0.33121799 ... 0.46841324 0.5153595  0.67388938]; bacc: 0.5001; average_auc:0.4800
[train] u: 0005700; loss: 0.0507385; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.38820852 0.48945805 0.3321334  ... 0.46155559 0.5153595  0.67364203]; bacc: 0.5000; average_auc:0.4794
[train] u: 0005800; loss: 0.0512138; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.3928969  0.68422008 0.33834335 ... 0.47170848 0.5153595  0.66545464]; bacc: 0.5001; average_auc:0.4782
[train] u: 0005900; loss: 0.0514198; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.35140652 0.68694218 0.33120562 ... 0.47153035 0.5153966  0.67371624]; bacc: 0.5001; average_auc:0.4788
[train] u: 0006000; loss: 0.0508007; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.37371038 0.68243009 0.33187362 ... 0.47176785 0.5151369  0.67371624]; bacc: 0.5001; average_auc:0.4795
[validation] u: 0006000; loss: 0.0524263; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.51246537 0.97091413 0.60079667 ... 0.47610803 0.47645429 0.26142659]; bacc: 0.5000; validation_auc:0.4769
  New best validation loss: 0.052426259964704514
[train] u: 0006100; loss: 0.0525942; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.41177417 0.69326074 0.41184839 ... 0.47181238 0.5153595  0.67371624]; bacc: 0.5000; average_auc:0.4793
[train] u: 0006200; loss: 0.0520779; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.37688958 0.68970552 0.33198496 ... 0.46332195 0.5151369  0.67374097]; bacc: 0.5001; average_auc:0.4770
[train] u: 0006300; loss: 0.0529003; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.38891363 0.68791553 0.41976546 ... 0.448152   0.5154708  0.66211537]; bacc: 0.5001; average_auc:0.4811
[train] u: 0006400; loss: 0.0516686; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.39050941 0.68530892 0.33119325 ... 0.45998219 0.5150627  0.67396359]; bacc: 0.5001; average_auc:0.4818
[train] u: 0006500; loss: 0.0511009; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.39906974 0.68526767 0.54012964 ... 0.46485082 0.5150998  0.63822103]; bacc: 0.5002; average_auc:0.4816
[validation] u: 0006500; loss: 0.0530747; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.64577562 0.97091413 0.2869761  ... 0.6416205  0.4965374  0.26558172]; bacc: 0.5002; validation_auc:0.4740
[train] u: 0006600; loss: 0.0527844; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.3813553  0.68395612 0.41429773 ... 0.47202019 0.5151369  0.67426041]; bacc: 0.5002; average_auc:0.4818
[train] u: 0006700; loss: 0.0526530; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.39685544 0.6864555  0.3444296  ... 0.47206472 0.5152482  0.64438013]; bacc: 0.5001; average_auc:0.4812
[train] u: 0006800; loss: 0.0523219; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.38736733 0.69915038 0.33141592 ... 0.46357429 0.5154337  0.637009  ]; bacc: 0.5000; average_auc:0.4806
[train] u: 0006900; loss: 0.0497009; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.40666518 0.69128104 0.34434301 ... 0.48544604 0.515174   0.67428515]; bacc: 0.5001; average_auc:0.4815
[train] u: 0007000; loss: 0.0514895; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.42628467 0.69064588 0.33131695 ... 0.46936322 0.51599021 0.6744583 ]; bacc: 0.5001; average_auc:0.4819
[validation] u: 0007000; loss: 0.0531622; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.68732687 0.97126039 0.78541739 ... 0.70186981 0.69355956 0.26142659]; bacc: 0.5001; validation_auc:0.4780
[train] u: 0007100; loss: 0.0509220; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.45883124 0.69179246 0.34434301 ... 0.48137153 0.5150627  0.6748788 ]; bacc: 0.5001; average_auc:0.4792
[train] u: 0007200; loss: 0.0499997; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.38543754 0.68527592 0.33192311 ... 0.47348968 0.5152111  0.6745325 ]; bacc: 0.5001; average_auc:0.4821
[train] u: 0007300; loss: 0.0513081; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.42600015 0.69135528 0.33461986 ... 0.46485082 0.5153595  0.67485406]; bacc: 0.5003; average_auc:0.4807
[train] u: 0007400; loss: 0.0517870; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.3962864  0.69982678 0.33215814 ... 0.4751373  0.5154708  0.67465618]; bacc: 0.5001; average_auc:0.4801
[train] u: 0007500; loss: 0.0493576; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.40880526 0.69142951 0.33120562 ... 0.47240612 0.5152853  0.6748788 ]; bacc: 0.5001; average_auc:0.4825
[validation] u: 0007500; loss: 0.0509819; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.63642659 0.97160665 0.78801524 ... 0.49861496 0.50207756 0.26177285]; bacc: 0.5000; validation_auc:0.4780
  New best validation loss: 0.05098188668489456
[train] u: 0007600; loss: 0.0526513; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.39384943 0.69177596 0.35757936 ... 0.46637969 0.5155079  0.67482933]; bacc: 0.5001; average_auc:0.4772
[train] u: 0007700; loss: 0.0535076; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.41296173 0.68766807 0.3390361  ... 0.47271783 0.5152853  0.675794  ]; bacc: 0.5002; average_auc:0.4788
[train] u: 0007800; loss: 0.0509752; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.38679829 0.6925761  0.36855192 ... 0.47666617 0.515174   0.6748788 ]; bacc: 0.5001; average_auc:0.4807
[train] u: 0007900; loss: 0.0521627; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.37992033 0.68445104 0.39285979 ... 0.46375241 0.5153224  0.67477986]; bacc: 0.5001; average_auc:0.4815
[train] u: 0008000; loss: 0.0519741; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.38481902 0.68961478 0.33137881 ... 0.47279204 0.5152111  0.67492827]; bacc: 0.5001; average_auc:0.4792
[validation] u: 0008000; loss: 0.0536219; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.58344875 0.97126039 0.81260824 ... 0.52042936 0.50277008 0.26142659]; bacc: 0.5001; validation_auc:0.4730
[train] u: 0008100; loss: 0.0558390; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.37941315 0.69168523 0.41572033 ... 0.47248033 0.515174   0.67527456]; bacc: 0.5001; average_auc:0.4804
[train] u: 0008200; loss: 0.0520111; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.40468592 0.68656273 0.33129221 ... 0.47273267 0.5153595  0.67465618]; bacc: 0.5001; average_auc:0.4805
[train] u: 0008300; loss: 0.0514583; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.42792993 0.69180071 0.41716767 ... 0.46847261 0.5153595  0.64633422]; bacc: 0.5000; average_auc:0.4791
[train] u: 0008400; loss: 0.0506763; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.36096885 0.68334571 0.33223237 ... 0.47723022 0.52010833 0.67492827]; bacc: 0.5001; average_auc:0.4801
[train] u: 0008500; loss: 0.0521856; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.3877137  0.67980698 0.38369331 ... 0.49093068 0.5154337  0.67500247]; bacc: 0.5000; average_auc:0.4802
[validation] u: 0008500; loss: 0.0539657; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.52285319 0.97195291 0.51091098 ... 0.74411357 0.49549861 0.26073407]; bacc: 0.5000; validation_auc:0.4736
[train] u: 0008600; loss: 0.0517498; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.40469829 0.69985152 0.40363443 ... 0.46903666 0.5151369  0.67443356]; bacc: 0.5001; average_auc:0.4789
[train] u: 0008700; loss: 0.0530017; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.40602192 0.69032418 0.33147777 ... 0.46747811 0.515174   0.67475512]; bacc: 0.5001; average_auc:0.4809
[train] u: 0008800; loss: 0.0533015; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.39819144 0.68517694 0.33883817 ... 0.47728959 0.5153966  0.67294944]; bacc: 0.5001; average_auc:0.4810
[train] u: 0008900; loss: 0.0512985; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.40759296 0.69248536 0.45310374 ... 0.47307407 0.5153595  0.67524983]; bacc: 0.5002; average_auc:0.4802
[train] u: 0009000; loss: 0.0523303; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.42291991 0.69105832 0.33474356 ... 0.47286626 0.5153595  0.67628871]; bacc: 0.5002; average_auc:0.4815
[validation] u: 0009000; loss: 0.0537603; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.38019391 0.97160665 0.74454451 ... 0.50588643 0.51696676 0.26350416]; bacc: 0.5001; validation_auc:0.4729
[train] u: 0009100; loss: 0.0542311; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.39647196 0.69283181 0.33320963 ... 0.47221315 0.5154337  0.67497774]; bacc: 0.5002; average_auc:0.4794
[train] u: 0009200; loss: 0.0514023; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.39375046 0.69934835 0.39060838 ... 0.46620157 0.515545   0.67567033]; bacc: 0.5000; average_auc:0.4771
