# settings: ObjectDict([('device', 'cpu'), ('num_threads', 4), ('lr', 0.1), ('batch_size', 64), ('n_lstm', 8), ('n_updates', 10000000.0), ('results_dir', 'results'), ('print_stats_at', 100.0), ('plot_at', 1000.0), ('validate_at', 500.0), ('n_samples', 100000.0), ('rnd_seed', 42)])
[train] u: 0000100; loss: 0.0329351; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66416941 0.33132721 0.3897695  ... 0.55573593 0.89907383 0.90054531]; bacc: 0.5000; average_auc:0.4588
[train] u: 0003300; loss: 0.0337090; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.5500065  0.33132721 0.38979298 ... 0.55619048 0.84142647 0.90270925]; bacc: 0.5000; average_auc:0.4597
[train] u: 0003400; loss: 0.0328643; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66675689 0.33132721 0.38979988 ... 0.55636364 0.90002597 0.9032286 ]; bacc: 0.5000; average_auc:0.4597
[train] u: 0003500; loss: 0.0344688; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66418024 0.33132721 0.38980541 ... 0.55636364 0.84099368 0.90288237]; bacc: 0.5000; average_auc:0.4601
[validation] u: 0003500; loss: 0.0362531; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.87425305 0.75344245 0.48385958 ... 0.2987789  0.2987789  0.47531185]; bacc: 0.5000; validation_auc:0.4530
[train] u: 0003600; loss: 0.0360794; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66429932 0.33132721 0.38980403 ... 0.55636364 0.90071843 0.90314204]; bacc: 0.5000; average_auc:0.4596
[train] u: 0003700; loss: 0.0370339; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.64051403 0.33132721 0.38979298 ... 0.55636364 0.90167056 0.9032286 ]; bacc: 0.5000; average_auc:0.4599
[train] u: 0003800; loss: 0.0413013; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66616144 0.33132721 0.38979988 ... 0.55616883 0.90193023 0.9026227 ]; bacc: 0.5000; average_auc:0.4596
[train] u: 0003900; loss: 0.0360228; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.6346895  0.33132721 0.38980265 ... 0.55636364 0.90002597 0.90288237]; bacc: 0.5000; average_auc:0.4595
[train] u: 0004000; loss: 0.0385247; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66594492 0.33132721 0.38978745 ... 0.55597403 0.90184368 0.90218991]; bacc: 0.5000; average_auc:0.4598
[validation] u: 0004000; loss: 0.0387193; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.87464276 0.65718368 0.48384424 ... 0.2987789  0.2987789  0.47539848]; bacc: 0.5000; validation_auc:0.4523
[train] u: 0004100; loss: 0.0340090; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66416941 0.33135608 0.38979436 ... 0.55603896 0.89933351 0.90244958]; bacc: 0.5000; average_auc:0.4595
[train] u: 0004200; loss: 0.0351801; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.63624848 0.33132721 0.38980541 ... 0.55640693 0.81623821 0.9038345 ]; bacc: 0.5000; average_auc:0.4603
[train] u: 0004300; loss: 0.0407275; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66530617 0.33132721 0.38980817 ... 0.55636364 0.90011252 0.90296893]; bacc: 0.5000; average_auc:0.4596
[train] u: 0004400; loss: 0.0420060; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66416941 0.33132721 0.38979574 ... 0.55636364 0.84203237 0.90296893]; bacc: 0.5000; average_auc:0.4600
[train] u: 0004500; loss: 0.0379357; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66717911 0.33132721 0.38980127 ... 0.55636364 0.901584   0.90296893]; bacc: 0.5000; average_auc:0.4597
[validation] u: 0004500; loss: 0.0387915; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.87464276 0.68147571 0.48385958 ... 0.2987789  0.2987789  0.47522523]; bacc: 0.5001; validation_auc:0.4525
[train] u: 0004600; loss: 0.0380405; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66420189 0.33132721 0.38980403 ... 0.55636364 0.90002597 0.90340171]; bacc: 0.5000; average_auc:0.4596
[train] u: 0004700; loss: 0.0384194; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66992898 0.33132721 0.38979436 ... 0.55632035 0.90167056 0.90288237]; bacc: 0.5000; average_auc:0.4597
[train] u: 0004800; loss: 0.0362611; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66659449 0.33132721 0.38978883 ... 0.55623377 0.90002597 0.90270925]; bacc: 0.5000; average_auc:0.4596
[train] u: 0004900; loss: 0.0385527; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66777455 0.33132721 0.3898137  ... 0.55636364 0.84835108 0.90331516]; bacc: 0.5000; average_auc:0.4601
[train] u: 0005000; loss: 0.0404191; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66518708 0.33132721 0.38978814 ... 0.55599567 0.90002597 0.90236302]; bacc: 0.5000; average_auc:0.4594
[validation] u: 0005000; loss: 0.0421911; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.87464276 0.75383216 0.4838289  ... 0.2987789  0.2987789  0.47531185]; bacc: 0.5000; validation_auc:0.4524
[train] u: 0005100; loss: 0.0376087; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66701672 0.33132721 0.38980265 ... 0.55640693 0.88150264 0.90392106]; bacc: 0.5000; average_auc:0.4599
[train] u: 0005200; loss: 0.0382210; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.63783453 0.33132721 0.3897985  ... 0.55638528 0.90288237 0.90340171]; bacc: 0.5000; average_auc:0.4599
[train] u: 0005300; loss: 0.0358642; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66416941 0.33132721 0.38980265 ... 0.55636364 0.901584   0.90314204]; bacc: 0.5000; average_auc:0.4597
[train] u: 0005400; loss: 0.0348809; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.67073012 0.33134165 0.38979298 ... 0.55612554 0.90141089 0.90236302]; bacc: 0.5000; average_auc:0.4598
[train] u: 0005500; loss: 0.0372712; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.6400485  0.33134165 0.38979988 ... 0.55636364 0.89933351 0.90296893]; bacc: 0.5000; average_auc:0.4596
[validation] u: 0005500; loss: 0.0380656; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.916212   0.75383216 0.48384424 ... 0.2987789  0.2987789  0.47531185]; bacc: 0.5000; validation_auc:0.4526
[train] u: 0005600; loss: 0.0374797; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66418024 0.33134165 0.38980265 ... 0.55636364 0.90011252 0.90314204]; bacc: 0.5000; average_auc:0.4595
[train] u: 0005700; loss: 0.0342491; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.65862636 0.33134165 0.38978469 ... 0.5562987  0.901584   0.90279581]; bacc: 0.5000; average_auc:0.4599
[train] u: 0005800; loss: 0.0377306; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66521956 0.33134165 0.38979436 ... 0.55640693 0.90288237 0.90400762]; bacc: 0.5000; average_auc:0.4597
[train] u: 0005900; loss: 0.0377352; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66414776 0.33134165 0.38977916 ... 0.55636364 0.90253614 0.90305548]; bacc: 0.5000; average_auc:0.4598
[train] u: 0006000; loss: 0.0422921; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66414776 0.33134165 0.38979436 ... 0.55623377 0.89916039 0.90253614]; bacc: 0.5000; average_auc:0.4593
[validation] u: 0006000; loss: 0.0444386; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.87438296 0.75383216 0.4838289  ... 0.2987789  0.2987789  0.47531185]; bacc: 0.5000; validation_auc:0.4523
[train] u: 0006100; loss: 0.0397112; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66392041 0.33134165 0.38979022 ... 0.55638528 0.84549468 0.90340171]; bacc: 0.5000; average_auc:0.4603
[train] u: 0006200; loss: 0.0333932; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66722241 0.33134165 0.38978883 ... 0.55614719 0.89933351 0.90244958]; bacc: 0.5000; average_auc:0.4596
[train] u: 0006300; loss: 0.0391964; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66592326 0.33134165 0.38979712 ... 0.55634199 0.90141089 0.90270925]; bacc: 0.5000; average_auc:0.4595
[train] u: 0006400; loss: 0.0406840; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66432098 0.33134165 0.3897916  ... 0.55638528 0.90011252 0.90331516]; bacc: 0.5000; average_auc:0.4598
[train] u: 0006500; loss: 0.0428457; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.6641261  0.33134165 0.38978745 ... 0.55621212 0.89950662 0.9026227 ]; bacc: 0.5000; average_auc:0.4592
[validation] u: 0006500; loss: 0.0449052; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.87464276 0.70849571 0.4838289  ... 0.2987789  0.2987789  0.47531185]; bacc: 0.5000; validation_auc:0.4522
[train] u: 0006600; loss: 0.0377485; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66414776 0.33134165 0.38979436 ... 0.55634199 0.90210335 0.90288237]; bacc: 0.5000; average_auc:0.4599
[train] u: 0006700; loss: 0.0377681; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66484064 0.33134165 0.38977364 ... 0.55597403 0.90002597 0.90218991]; bacc: 0.5000; average_auc:0.4594
[train] u: 0006800; loss: 0.0353950; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.65942751 0.33134165 0.38970733 ... 0.55636364 0.85345798 0.90288237]; bacc: 0.5000; average_auc:0.4598
[train] u: 0006900; loss: 0.0377660; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66431015 0.33134165 0.38976259 ... 0.55597403 0.89924695 0.90184368]; bacc: 0.5000; average_auc:0.4593
[train] u: 0007000; loss: 0.0416420; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66415858 0.33137051 0.38974325 ... 0.55621212 0.90115122 0.9026227 ]; bacc: 0.5000; average_auc:0.4597
[validation] u: 0007000; loss: 0.0422358; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.87425305 0.75383216 0.48376753 ... 0.2987789  0.2987789  0.47531185]; bacc: 0.5000; validation_auc:0.4527
[train] u: 0007100; loss: 0.0377218; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.61095834 0.33134165 0.38976673 ... 0.55625541 0.901584   0.90270925]; bacc: 0.5000; average_auc:0.4599
[train] u: 0007200; loss: 0.0408009; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66415858 0.33132721 0.3897764  ... 0.55638528 0.90019908 0.90314204]; bacc: 0.5000; average_auc:0.4597
[train] u: 0007300; loss: 0.0416086; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66414776 0.33132721 0.38976397 ... 0.55632035 0.90193023 0.90279581]; bacc: 0.5000; average_auc:0.4599
[train] u: 0007400; loss: 0.0392450; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66514377 0.33132721 0.38974463 ... 0.55632035 0.90011252 0.90279581]; bacc: 0.5000; average_auc:0.4594
[train] u: 0007500; loss: 0.0378116; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66414776 0.33131278 0.3897764  ... 0.55638528 0.90279581 0.90340171]; bacc: 0.5000; average_auc:0.4599
[validation] u: 0007500; loss: 0.0389578; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.87464276 0.67848792 0.48379821 ... 0.2987789  0.2987789  0.47522523]; bacc: 0.5000; validation_auc:0.4524
[train] u: 0007600; loss: 0.0371008; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66532782 0.33131278 0.3897764  ... 0.55619048 0.90253614 0.90253614]; bacc: 0.5000; average_auc:0.4594
[train] u: 0007700; loss: 0.0391821; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66414776 0.33131278 0.38968109 ... 0.55619048 0.90011252 0.9026227 ]; bacc: 0.5000; average_auc:0.4594
[train] u: 0007800; loss: 0.0368611; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66547939 0.33131278 0.38977088 ... 0.55614719 0.901584   0.90253614]; bacc: 0.5000; average_auc:0.4598
[train] u: 0007900; loss: 0.0381216; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.6641261  0.33134165 0.38976121 ... 0.55597403 0.89942006 0.90236302]; bacc: 0.5000; average_auc:0.4593
[train] u: 0008000; loss: 0.0356186; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.63165815 0.33131278 0.38974878 ... 0.55638528 0.82697135 0.90340171]; bacc: 0.5000; average_auc:0.4602
[validation] u: 0008000; loss: 0.0363195; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.92647441 0.70550792 0.48376753 ... 0.2987789  0.2987789  0.47522523]; bacc: 0.5000; validation_auc:0.4530
[train] u: 0008100; loss: 0.0372415; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66432098 0.33131278 0.38977502 ... 0.55634199 0.89976629 0.90296893]; bacc: 0.5000; average_auc:0.4596
[train] u: 0008200; loss: 0.0388852; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66502468 0.33131278 0.38977364 ... 0.55636364 0.90236302 0.90296893]; bacc: 0.5000; average_auc:0.4597
[train] u: 0008300; loss: 0.0394371; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66714663 0.33132721 0.38976535 ... 0.55623377 0.9009781  0.90279581]; bacc: 0.5000; average_auc:0.4595
[train] u: 0008400; loss: 0.0406045; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66413693 0.33132721 0.38976673 ... 0.5562987  0.90063187 0.90288237]; bacc: 0.5000; average_auc:0.4594
[train] u: 0008500; loss: 0.0399573; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66447254 0.33132721 0.38977226 ... 0.55632035 0.90279581 0.90288237]; bacc: 0.5000; average_auc:0.4598
[validation] u: 0008500; loss: 0.0414792; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.87464276 0.71434139 0.48378287 ... 0.2987789  0.2987789  0.47531185]; bacc: 0.5000; validation_auc:0.4529
[train] u: 0008600; loss: 0.0380357; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.6642885  0.33132721 0.38971562 ... 0.55616883 0.90011252 0.90253614]; bacc: 0.5000; average_auc:0.4596
[train] u: 0008700; loss: 0.0343212; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66491642 0.33132721 0.38971977 ... 0.55636364 0.90218991 0.90288237]; bacc: 0.5000; average_auc:0.4601
[train] u: 0008800; loss: 0.0359976; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66436428 0.33132721 0.38975983 ... 0.55603896 0.90002597 0.90244958]; bacc: 0.5000; average_auc:0.4595
[train] u: 0008900; loss: 0.0376244; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66495973 0.33132721 0.38973772 ... 0.55636364 0.87276032 0.90305548]; bacc: 0.5000; average_auc:0.4596
[train] u: 0009000; loss: 0.0356409; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.65481552 0.33132721 0.38978745 ... 0.55623377 0.90149745 0.90253614]; bacc: 0.5000; average_auc:0.4601
[validation] u: 0009000; loss: 0.0378036; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.89477786 0.75370226 0.48385958 ... 0.2987789  0.2987789  0.47531185]; bacc: 0.5000; validation_auc:0.4527
[train] u: 0009100; loss: 0.0393215; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.6641261  0.33132721 0.38974049 ... 0.55625541 0.90132433 0.90279581]; bacc: 0.5000; average_auc:0.4596
[train] u: 0009200; loss: 0.0386227; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66424519 0.33132721 0.38975568 ... 0.55606061 0.90106466 0.90244958]; bacc: 0.5000; average_auc:0.4598
[train] u: 0009300; loss: 0.0435563; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.6641261  0.33132721 0.38974878 ... 0.55632035 0.89993941 0.90288237]; bacc: 0.5000; average_auc:0.4594
[train] u: 0009400; loss: 0.0388522; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.6641261  0.33132721 0.38975706 ... 0.55627706 0.901584   0.90279581]; bacc: 0.5000; average_auc:0.4594
