# settings: ObjectDict([('device', 'cpu'), ('num_threads', 4), ('lr', 0.1), ('batch_size', 64), ('n_lstm', 8), ('n_updates', 10000000.0), ('results_dir', 'results'), ('print_stats_at', 100.0), ('plot_at', 1000.0), ('validate_at', 500.0), ('n_samples', 100000.0), ('rnd_seed', 42)])
[train] u: 0000100; loss: 0.0044679; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.46756212 0.40642745 0.59477869 ... 0.48151532 0.65692168 0.51793743]; bacc: 0.5000; average_auc:0.4642
[train] u: 0001300; loss: 0.0039713; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.46166083 0.41051637 0.59638276 ... 0.48263456 0.65640352 0.52289961]; bacc: 0.5000; average_auc:0.4645
[train] u: 0001400; loss: 0.0037876; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.46091996 0.41225129 0.59292615 ... 0.47240963 0.65134195 0.50947393]; bacc: 0.5000; average_auc:0.4648
[train] u: 0001500; loss: 0.0037765; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.48082079 0.41161594 0.6024662  ... 0.47906883 0.65306939 0.52090725]; bacc: 0.5000; average_auc:0.4648
[validation] u: 0001500; loss: 0.0041152; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.87629938 0.4225756  0.7027027  ... 0.19904363 0.14776275 0.00780437]; bacc: 0.5000; validation_auc:0.4553
[train] u: 0001600; loss: 0.0039005; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.47054484 0.4102505  0.60148272 ... 0.48032282 0.65375042 0.51820742]; bacc: 0.5000; average_auc:0.4648
[train] u: 0001700; loss: 0.0036775; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.45100643 0.41378667 0.5879094  ... 0.47943347 0.6588799  0.51633446]; bacc: 0.5000; average_auc:0.4652
[train] u: 0001800; loss: 0.0035903; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.46291806 0.41125889 0.59490581 ... 0.47514714 0.65177648 0.51527324]; bacc: 0.5000; average_auc:0.4648
[train] u: 0001900; loss: 0.0036439; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.46895406 0.41160973 0.59452329 ... 0.47657984 0.65500371 0.5117786 ]; bacc: 0.5000; average_auc:0.4647
[train] u: 0002000; loss: 0.0038018; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.44745603 0.4118294  0.58805501 ... 0.47887475 0.65483895 0.51758547]; bacc: 0.5000; average_auc:0.4647
[validation] u: 0002000; loss: 0.0041280; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.88565489 0.43925965 0.73804574 ... 0.20158398 0.15868887 0.00832466]; bacc: 0.5000; validation_auc:0.4557
[train] u: 0002100; loss: 0.0037961; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.47769696 0.41110731 0.59291806 ... 0.48602611 0.66398989 0.52260022]; bacc: 0.5000; average_auc:0.4655
[train] u: 0002200; loss: 0.0038558; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.48343789 0.41361348 0.61239801 ... 0.48532595 0.6577417  0.526846  ]; bacc: 0.5000; average_auc:0.4648
[train] u: 0002300; loss: 0.0040871; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.46726706 0.41113958 0.59715012 ... 0.48443172 0.6592635  0.5205544 ]; bacc: 0.5000; average_auc:0.4650
[train] u: 0002400; loss: 0.0037818; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.46180836 0.41180157 0.60169652 ... 0.47445801 0.64669543 0.51707357]; bacc: 0.5000; average_auc:0.4643
[train] u: 0002500; loss: 0.0036959; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.49617057 0.40674779 0.6040564  ... 0.47959463 0.64864861 0.5168575 ]; bacc: 0.5000; average_auc:0.4646
[validation] u: 0002500; loss: 0.0039814; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.88149688 0.41605839 0.65072765 ... 0.20427376 0.14308012 0.00884495]; bacc: 0.5000; validation_auc:0.4554
  New best validation loss: 0.003981426823884249
[train] u: 0002600; loss: 0.0037913; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.45917844 0.41365729 0.59586155 ... 0.47503681 0.65073009 0.51818959]; bacc: 0.5000; average_auc:0.4648
[train] u: 0002700; loss: 0.0036554; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.43302031 0.42047946 0.59515428 ... 0.46779375 0.64344305 0.502122  ]; bacc: 0.5000; average_auc:0.4667
[train] u: 0002800; loss: 0.0038138; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.45268701 0.40997694 0.57824107 ... 0.48499007 0.66994504 0.51638614]; bacc: 0.5000; average_auc:0.4653
[train] u: 0002900; loss: 0.0037654; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.47316194 0.41101731 0.59307061 ... 0.47373253 0.64684761 0.51416612]; bacc: 0.5000; average_auc:0.4647
[train] u: 0003000; loss: 0.0035489; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.43972341 0.40754864 0.58763666 ... 0.4746038  0.65000377 0.50935543]; bacc: 0.5000; average_auc:0.4642
[validation] u: 0003000; loss: 0.0038713; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.88357588 0.41631908 0.71205821 ... 0.21129707 0.18574402 0.00884495]; bacc: 0.5000; validation_auc:0.4546
  New best validation loss: 0.0038712769746780396
[train] u: 0003100; loss: 0.0038170; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.48920448 0.41213346 0.60016757 ... 0.48707174 0.66201532 0.52551212]; bacc: 0.5000; average_auc:0.4647
[train] u: 0003200; loss: 0.0037471; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.45342468 0.41481253 0.60741708 ... 0.46983056 0.63372992 0.5076834 ]; bacc: 0.5000; average_auc:0.4665
[train] u: 0003300; loss: 0.0037869; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.42643908 0.41651074 0.58883277 ... 0.4708836  0.64882218 0.50900703]; bacc: 0.5000; average_auc:0.4661
[train] u: 0003400; loss: 0.0040978; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.47571489 0.40855377 0.60086213 ... 0.47906684 0.64913282 0.51930784]; bacc: 0.5000; average_auc:0.4646
[train] u: 0003500; loss: 0.0037717; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.4754519  0.41439567 0.60160753 ... 0.48048253 0.65809762 0.51700184]; bacc: 0.5000; average_auc:0.4655
[validation] u: 0003500; loss: 0.0040740; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.87837838 0.41657977 0.61954262 ... 0.21727436 0.13423517 0.01352758]; bacc: 0.5000; validation_auc:0.4562
[train] u: 0003600; loss: 0.0036801; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.45301094 0.40648844 0.5901225  ... 0.47610631 0.65161173 0.51359453]; bacc: 0.5000; average_auc:0.4644
[train] u: 0003700; loss: 0.0037669; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.486241   0.41391842 0.59525482 ... 0.48659604 0.6658085  0.52601734]; bacc: 0.5000; average_auc:0.4644
[train] u: 0003800; loss: 0.0037050; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.47157757 0.41297339 0.6030787  ... 0.47639408 0.65215002 0.51247449]; bacc: 0.5000; average_auc:0.4653
[train] u: 0003900; loss: 0.0036982; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.46569552 0.41159848 0.59888016 ... 0.47917753 0.65200475 0.51860482]; bacc: 0.5000; average_auc:0.4643
[train] u: 0004000; loss: 0.0036407; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.46997396 0.41133172 0.60395239 ... 0.47430065 0.64827571 0.51078331]; bacc: 0.5000; average_auc:0.4663
[validation] u: 0004000; loss: 0.0039383; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.9033264  0.44264859 0.67359667 ... 0.19112373 0.0842872  0.00832466]; bacc: 0.5000; validation_auc:0.4585
[train] u: 0004100; loss: 0.0037046; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.48598443 0.4049729  0.60019415 ... 0.48179169 0.65371835 0.51957426]; bacc: 0.5000; average_auc:0.4643
[train] u: 0004200; loss: 0.0037888; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.46339273 0.41870131 0.59649601 ... 0.48168516 0.65897675 0.51662182]; bacc: 0.5000; average_auc:0.4659
[train] u: 0004300; loss: 0.0039266; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.45280247 0.41399244 0.59077314 ... 0.48829571 0.66687188 0.52190165]; bacc: 0.5000; average_auc:0.4652
[train] u: 0004400; loss: 0.0037640; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.45516299 0.41652318 0.58644632 ... 0.48316199 0.6689653  0.515823  ]; bacc: 0.5000; average_auc:0.4657
[train] u: 0004500; loss: 0.0037800; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.46576287 0.4063635  0.6027528  ... 0.47366525 0.63841041 0.50717462]; bacc: 0.5000; average_auc:0.4651
[validation] u: 0004500; loss: 0.0042119; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.91372141 0.387122   0.66008316 ... 0.20636581 0.11810614 0.00780437]; bacc: 0.5000; validation_auc:0.4575
